"cve_id","library","version","severity","cvss_score","cvss_vector","inclusion_type","phases_detectable","description","notes"
"CVE-2022-35737","SQLite","3.39.1","HIGH","7.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","amalgamation","1,2,3","SQLite 1.0.12 through 3.39.x before 3.39.2 sometimes allows an array-bounds overflow if billions of bytes are used in a string argument to a C API.","Canonical GT v2 (2026-04-07)"
"CVE-2023-7104","SQLite","3.39.1","MEDIUM","5.5","CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L","amalgamation","1,2,3","A vulnerability was found in SQLite SQLite3 up to 3.43.0 and classified as critical. This issue affects the function sessionReadRecord of the file ext/session/sqlite3session.c of the component make alltest Handler. The manipulation leads to heap-based buffer overflow. It is recommended to apply a patch to fix this issue. The associated identifier of this vulnerability is VDB-248999.","NVD verified 2026-04-07; MANTAINED: sqlite3session code IS compiled in amalgamation (guarded by SQLITE_ENABLE_SESSION which is included in full amalgamation sqlite3.c)"
"CVE-2025-6965","SQLite","3.39.1","CRITICAL","9.8","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","amalgamation","1,2,3","There exists a vulnerability in SQLite versions before 3.50.2 where the number of aggregate terms could exceed the number of columns available. This could lead to a memory corruption issue. We recommend upgrading to version 3.50.2 or above.","Canonical GT v2 (2026-04-07)"
"CVE-2022-25235","expat","2.4.6","CRITICAL","9.8","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","source","1,2,3","xmltok_impl.c in Expat (libexpat) before 2.4.5 lacks certain validation of encoding. Expat 2.4.6 is affected.","NVD verified 2026-04-07; CVSS vector updated from NVD"
"CVE-2022-25236","expat","2.4.6","CRITICAL","9.8","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","source","1,2,3","xmlparse.c in Expat (libexpat) before 2.4.5 allows namespace-separator character injection. Expat 2.4.6 affected.","NVD verified 2026-04-07; CVSS vector updated from NVD"
"CVE-2024-8176","expat","2.4.6","HIGH","7.5","","source","1,2,3","expat stack exhaustion deeply nested XML <=2.6.3","NVD verified 2026-04-07; GT_GAP confirmed"
"CVE-2021-4214","libpng","1.6.34","MEDIUM","5.5","","source","1,2,3","libpng heap-overflow pngimage <=1.6.37","NVD verified 2026-04-07; GT_GAP confirmed"
"CVE-2026-3713","libpng","1.6.34","MEDIUM","5.3","","source","1,2,3","libpng OOB read NVD confirmed 1.6.34","NVD verified 2026-04-07; GT_GAP confirmed"
"CVE-2025-29088","SQLite","3.39.1","MEDIUM","5.6","","amalgamation","1,2,3","SQLite OOB write. Affects 3.39.1","NVD verified 2026-04-07; GT_GAP confirmed"
"CVE-2025-70873","SQLite","3.39.1","HIGH","7.5","","amalgamation","1,2,3","SQLite affects 3.39.1","NVD verified 2026-04-07; GT_GAP confirmed"
"CVE-2022-40674","expat","2.4.6","HIGH","8.1","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H","source","1,2,3","libexpat before 2.4.9 has a use-after-free in the doContent function in xmlparse.c.","Canonical GT v2 (2026-04-07)"
"CVE-2022-43680","expat","2.4.6","HIGH","7.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","source","1,2,3","In libexpat through 2.4.9, there is a use-after free caused by overeager destruction of a shared DTD in XML_ExternalEntityParserCreate in out-of-memory situations.","Canonical GT v2 (2026-04-07)"
"CVE-2023-52425","expat","2.4.6","HIGH","7.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","source","1,2,3","libexpat through 2.5.0 allows a denial of service (resource consumption) because many full reparsings are required in the case of a large token for which multiple buffer fills are needed.","Canonical GT v2 (2026-04-07)"
"CVE-2023-52426","expat","2.4.6","MEDIUM","5.5","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H","source","1,2,3","libexpat through 2.5.0 allows recursive XML Entity Expansion if XML_DTD is undefined at compile time.","Canonical GT v2 (2026-04-07)"
"CVE-2024-28757","expat","2.4.6","HIGH","7.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","source","1,2,3","libexpat through 2.6.1 allows an XML Entity Expansion attack when there is isolated use of external parsers (created via XML_ExternalEntityParserCreate).","Canonical GT v2 (2026-04-07)"
"CVE-2024-45490","expat","2.4.6","HIGH","7.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","source","1,2,3","An issue was discovered in libexpat before 2.6.3. xmlparse.c does not reject a negative length for XML_ParseBuffer.","Canonical GT v2 (2026-04-07)"
"CVE-2024-45491","expat","2.4.6","CRITICAL","9.8","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","source","1,2,3","An issue was discovered in libexpat before 2.6.3. dtdCopy in xmlparse.c can have an integer overflow for nDefaultAtts on 32-bit platforms (where UINT_MAX equals SIZE_MAX).","Canonical GT v2 (2026-04-07)"
"CVE-2024-45492","expat","2.4.6","CRITICAL","9.8","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","source","1,2,3","An issue was discovered in libexpat before 2.6.3. nextScaffoldPart in xmlparse.c can have an integer overflow for m_groupSize on 32-bit platforms (where UINT_MAX equals SIZE_MAX).","Canonical GT v2 (2026-04-07)"
"CVE-2024-50602","expat","2.4.6","MEDIUM","5.9","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H","source","1,2,3","An issue was discovered in libexpat before 2.6.4. There is a crash within the XML_ResumeParser function because XML_StopParser can stop/suspend an unstarted parser.","Canonical GT v2 (2026-04-07)"
"CVE-2025-59375","expat","2.4.6","HIGH","7.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","source","1,2,3","libexpat in Expat before 2.7.2 allows attackers to trigger large dynamic memory allocations via a small document that is submitted for parsing.","Canonical GT v2 (2026-04-07)"
"CVE-2025-66382","expat","2.4.6","LOW","2.9","CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L","source","1,2,3","In libexpat through 2.7.3, a crafted file with an approximate size of 2 MiB can lead to dozens of seconds of processing time.","Canonical GT v2 (2026-04-07)"
"CVE-2026-24515","expat","2.4.6","LOW","2.9","CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L","source","1,2,3","In libexpat before 2.7.4, XML_ExternalEntityParserCreate does not copy unknown encoding handler user data.","Canonical GT v2 (2026-04-07)"
"CVE-2026-25210","expat","2.4.6","MEDIUM","6.9","CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:L","source","1,2,3","In libexpat before 2.7.4, the doContent function does not properly determine the buffer size bufSize because there is no integer overflow check for tag buffer reallocation.","Canonical GT v2 (2026-04-07)"
"CVE-2026-32777","expat","2.4.6","MEDIUM","4.0","CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L","source","1,2,3","libexpat before 2.7.5 allows an infinite loop while parsing DTD content.","Canonical GT v2 (2026-04-07)"
"CVE-2026-32778","expat","2.4.6","LOW","2.9","CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L","source","1,2,3","libexpat before 2.7.5 allows a NULL pointer dereference in the function setContext on retry after an earlier ouf-of-memory condition.","Canonical GT v2 (2026-04-07)"
"CVE-2018-13785","libpng","1.6.34","MEDIUM","6.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H","source","1,2,3","In libpng 1.6.34, a wrong calculation of row_factor in the png_check_chunk_length function (pngrutil.c) may trigger an integer overflow and resultant divide-by-zero while processing a crafted PNG file","Canonical GT v2 (2026-04-07)"
"CVE-2018-14048","libpng","1.6.34","MEDIUM","6.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H","source","1,2,3","An issue has been found in libpng 1.6.34. It is a SEGV in the function png_free_data in png.c, related to the recommended error handling for png_read_image.","Canonical GT v2 (2026-04-07)"
